x,luma
1.994396E-2,9.084052E1
1.983289E-2,8.611299E1
1.972182E-2,8.278721E1
1.961074E-2,8.063702E1
1.949967E-2,8.130857E1
1.938860E-2,8.624927E1
1.927753E-2,9.314499E1
1.916646E-2,9.775223E1
1.905539E-2,9.818796E1
1.894432E-2,1.041421E2
1.883325E-2,1.117202E2
1.872218E-2,1.100952E2
1.861111E-2,1.062250E2
1.850004E-2,1.099606E2
1.838897E-2,1.158822E2
1.827790E-2,1.212534E2
1.816683E-2,1.271706E2
1.805576E-2,1.295554E2
1.794468E-2,1.253148E2
1.783361E-2,1.146616E2
1.772254E-2,1.030709E2
1.761147E-2,9.706427E1
1.750040E-2,9.623574E1
1.738933E-2,9.145054E1
1.727826E-2,8.891483E1
1.716719E-2,8.850907E1
1.705612E-2,8.833394E1
1.694505E-2,8.808476E1
1.683398E-2,8.686851E1
1.672291E-2,8.474705E1
1.661184E-2,8.271083E1
1.650077E-2,8.466493E1
1.638970E-2,8.777589E1
1.627862E-2,9.125184E1
1.616755E-2,9.470143E1
1.605648E-2,9.708560E1
1.594541E-2,9.752340E1
1.583434E-2,9.697541E1
1.572327E-2,9.646064E1
1.561220E-2,9.642500E1
1.550113E-2,9.663822E1
1.539006E-2,9.636257E1
1.527899E-2,9.473742E1
1.516792E-2,9.356439E1
1.505685E-2,9.334954E1
1.494578E-2,9.152992E1
1.483471E-2,8.818064E1
1.472364E-2,8.708283E1
1.461256E-2,8.422777E1
1.450149E-2,8.086086E1
1.439042E-2,8.075956E1
1.427935E-2,8.261472E1
1.416828E-2,8.417554E1
1.405721E-2,8.579707E1
1.394614E-2,8.799337E1
1.383507E-2,8.881759E1
1.372400E-2,8.688984E1
1.361293E-2,8.257904E1
1.350186E-2,7.940637E1
1.339079E-2,7.945861E1
1.327972E-2,8.242694E1
1.316865E-2,8.619164E1
1.305757E-2,8.886679E1
1.294650E-2,8.774870E1
1.283543E-2,8.719619E1
1.272436E-2,8.770263E1
1.261329E-2,8.634826E1
1.250222E-2,8.302206E1
1.239115E-2,7.976362E1
1.228008E-2,7.784053E1
1.216901E-2,7.743062E1
1.205794E-2,7.716671E1
1.194687E-2,7.482075E1
1.183580E-2,7.229382E1
1.172473E-2,6.993728E1
1.161366E-2,6.704800E1
1.150259E-2,6.496073E1
