x,luma
2.060818E-1,2.625667E1
2.060082E-1,2.667278E1
2.059345E-1,2.676202E1
2.058608E-1,2.641945E1
2.057871E-1,2.564608E1
2.057135E-1,2.493208E1
2.056398E-1,2.493852E1
2.055661E-1,2.546509E1
2.054924E-1,2.553620E1
2.054188E-1,2.553861E1
2.053451E-1,2.626666E1
2.052714E-1,2.719706E1
2.051977E-1,2.767861E1
2.051240E-1,2.744826E1
2.050504E-1,2.714556E1
2.049767E-1,2.705901E1
2.049030E-1,2.627172E1
2.048293E-1,2.517445E1
2.047557E-1,2.504861E1
2.046820E-1,2.627069E1
2.046083E-1,2.761066E1
2.045346E-1,2.745733E1
2.044610E-1,2.710348E1
2.043873E-1,2.763608E1
2.043136E-1,2.842031E1
2.042399E-1,2.850214E1
2.041662E-1,2.899121E1
2.040926E-1,3.006999E1
2.040189E-1,3.035561E1
2.039452E-1,2.972136E1
2.038715E-1,2.936363E1
2.037979E-1,2.934140E1
2.037242E-1,2.941232E1
2.036505E-1,2.972681E1
2.035768E-1,3.009036E1
2.035032E-1,3.098748E1
2.034295E-1,3.261792E1
2.033558E-1,3.397757E1
2.032821E-1,3.364865E1
2.032085E-1,3.206160E1
2.031348E-1,3.112128E1
2.030611E-1,3.119561E1
2.029874E-1,3.153053E1
2.029137E-1,3.192802E1
2.028401E-1,3.202926E1
2.027664E-1,3.277934E1
2.026927E-1,3.450134E1
2.026190E-1,3.523623E1
2.025454E-1,3.474887E1
2.024717E-1,3.467593E1
2.023980E-1,3.529116E1
2.023243E-1,3.552711E1
2.022507E-1,3.442699E1
2.021770E-1,3.232895E1
2.021033E-1,3.053169E1
2.020296E-1,3.003873E1
2.019559E-1,3.087200E1
2.018823E-1,3.166882E1
2.018086E-1,3.204087E1
2.017349E-1,3.272273E1
2.016612E-1,3.297870E1
2.015876E-1,3.249244E1
2.015139E-1,3.207407E1
2.014402E-1,3.237236E1
2.013665E-1,3.241759E1
2.012929E-1,3.188349E1
2.012192E-1,3.166022E1
2.011455E-1,3.178542E1
2.010718E-1,3.194210E1
2.009982E-1,3.204358E1
2.009245E-1,3.214730E1
2.008508E-1,3.235160E1
2.007771E-1,3.254171E1
2.007034E-1,3.212958E1
2.006298E-1,3.164150E1
2.005561E-1,3.161108E1
2.004824E-1,3.182545E1
2.004087E-1,3.146876E1
2.003351E-1,3.082228E1
2.002614E-1,3.061701E1
2.001877E-1,3.069525E1
2.001140E-1,3.087910E1
2.000404E-1,3.057285E1
1.999667E-1,2.982334E1
1.998930E-1,2.988877E1
1.998193E-1,2.998186E1
1.997456E-1,2.949116E1
1.996720E-1,2.925100E1
1.995983E-1,2.929409E1
1.995246E-1,2.886493E1
1.994509E-1,2.817385E1
1.993773E-1,2.810031E1
1.993036E-1,2.849389E1
1.992299E-1,2.879307E1
1.991562E-1,2.909683E1
1.990826E-1,2.960013E1
1.990089E-1,2.952596E1
1.989352E-1,2.919781E1
1.988615E-1,2.955380E1
1.987878E-1,2.965847E1
1.987142E-1,2.946171E1
1.986405E-1,2.901020E1
1.985668E-1,2.882984E1
1.984931E-1,2.875850E1
1.984195E-1,2.900791E1
1.983458E-1,2.934961E1
1.982721E-1,2.941494E1
1.981984E-1,2.985548E1
1.981248E-1,3.003583E1
1.980511E-1,3.018497E1
1.979774E-1,3.064091E1
1.979037E-1,3.044987E1
1.978301E-1,2.908881E1
