x,luma
3.347841E-3,5.182193E1
3.188439E-3,4.654560E1
3.029037E-3,6.502006E1
2.869636E-3,6.826778E1
2.710234E-3,6.879306E1
2.550832E-3,7.080422E1
2.391430E-3,6.408216E1
2.232029E-3,6.024834E1
2.072627E-3,6.738225E1
1.913225E-3,7.117913E1
1.753823E-3,6.991685E1
1.594422E-3,7.151349E1
1.435020E-3,6.888396E1
1.275618E-3,6.006972E1
1.116216E-3,6.246147E1
9.568145E-4,6.994266E1
7.974128E-4,7.136703E1
6.380110E-4,7.171649E1
4.786093E-4,7.014080E1
