x,luma
2.194507E-2,9.515937E1
2.183138E-2,9.482635E1
2.171770E-2,9.466825E1
2.160401E-2,9.724832E1
2.149032E-2,9.700486E1
2.137664E-2,1.020506E2
2.126295E-2,1.296357E2
2.114926E-2,1.661310E2
2.103557E-2,1.938641E2
2.092189E-2,2.156063E2
2.080820E-2,2.307630E2
2.069451E-2,2.374097E2
2.058083E-2,2.420047E2
2.046714E-2,2.438598E2
2.035345E-2,2.462623E2
2.023976E-2,2.484556E2
2.012608E-2,2.495515E2
2.001239E-2,2.495702E2
1.989870E-2,2.507217E2
1.978502E-2,2.513227E2
1.967133E-2,2.509263E2
1.955764E-2,2.514312E2
1.944396E-2,2.496917E2
1.933027E-2,2.495702E2
1.921658E-2,2.516253E2
1.910289E-2,2.518722E2
1.898921E-2,2.501921E2
1.887552E-2,2.526954E2
1.876183E-2,2.529647E2
1.864815E-2,2.505253E2
1.853446E-2,2.501916E2
1.842077E-2,2.489297E2
1.830708E-2,2.457047E2
1.819340E-2,2.471515E2
1.807971E-2,2.488399E2
1.796602E-2,2.454793E2
1.785234E-2,2.445414E2
1.773865E-2,2.411164E2
1.762496E-2,2.354189E2
1.751127E-2,2.220993E2
1.739759E-2,2.055336E2
1.728390E-2,1.997679E2
1.717021E-2,1.935009E2
1.705653E-2,1.787858E2
1.694284E-2,1.518497E2
1.682915E-2,1.294176E2
1.671547E-2,1.074193E2
1.660178E-2,9.653793E1
1.648809E-2,8.806826E1
1.637440E-2,8.153482E1
1.626072E-2,8.682146E1
1.614703E-2,9.818064E1
1.603334E-2,9.961883E1
1.591966E-2,9.802798E1
1.580597E-2,9.937511E1
1.569228E-2,1.082435E2
1.557859E-2,1.148720E2
1.546491E-2,1.090250E2
1.535122E-2,1.038175E2
1.523753E-2,1.102083E2
1.512385E-2,1.163534E2
1.501016E-2,1.104281E2
1.489647E-2,1.078288E2
1.478278E-2,1.050654E2
1.466910E-2,9.969684E1
1.455541E-2,9.890499E1
1.444172E-2,9.577116E1
1.432804E-2,8.461154E1
1.421435E-2,9.289659E1
1.410066E-2,9.218521E1
1.398698E-2,9.066510E1
1.387329E-2,8.961193E1
1.375960E-2,8.833019E1
1.364591E-2,8.645057E1
1.353223E-2,8.323800E1
1.341854E-2,8.043499E1
1.330485E-2,6.491661E1
1.319117E-2,8.319314E1
1.307748E-2,9.387148E1
1.296379E-2,9.404266E1
1.285010E-2,9.684688E1
1.273642E-2,9.711892E1
1.262273E-2,9.466429E1
1.250904E-2,9.586386E1
1.239536E-2,9.955208E1
1.228167E-2,8.212241E1
1.216798E-2,9.218081E1
1.205430E-2,9.702677E1
1.194061E-2,9.195528E1
1.182692E-2,9.643419E1
1.171323E-2,9.492420E1
1.159955E-2,9.362504E1
1.148586E-2,9.097564E1
1.137217E-2,8.557552E1
1.125849E-2,6.657829E1
1.114480E-2,7.094481E1
1.103111E-2,8.087073E1
1.091742E-2,7.714312E1
1.080374E-2,8.247208E1
1.069005E-2,8.579627E1
1.057636E-2,9.026178E1
1.046268E-2,8.629412E1
1.034899E-2,9.718563E1
1.023530E-2,7.768746E1
1.012161E-2,8.939723E1
1.000793E-2,9.706570E1
9.894241E-3,1.029605E2
9.780554E-3,9.955448E1
9.666866E-3,9.533396E1
9.553179E-3,9.076219E1
9.439492E-3,9.584652E1
9.325805E-3,9.363392E1
9.212118E-3,8.157516E1
9.098431E-3,8.417068E1
8.984744E-3,9.328063E1
8.871057E-3,8.913504E1
8.757370E-3,8.619139E1
8.643683E-3,8.133363E1
8.529996E-3,7.649961E1
8.416309E-3,7.456302E1
8.302621E-3,6.255159E1
8.188934E-3,4.082020E1
8.075247E-3,4.035908E1
7.961560E-3,6.357678E1
7.847873E-3,8.043948E1
7.734186E-3,8.360857E1
7.620499E-3,8.580998E1
7.506812E-3,8.958273E1
7.393125E-3,9.327108E1
7.279438E-3,9.017672E1
7.165751E-3,8.158578E1
7.052064E-3,7.490489E1
6.938377E-3,8.870056E1
6.824689E-3,9.493646E1
6.711002E-3,9.615376E1
6.597315E-3,9.397593E1
6.483628E-3,9.443902E1
6.369941E-3,9.425527E1
6.256254E-3,8.528184E1
6.142567E-3,7.192784E1
6.028880E-3,6.423998E1
5.915193E-3,7.342498E1
5.801506E-3,7.679790E1
5.687819E-3,7.453848E1
5.574132E-3,7.580064E1
5.460445E-3,7.529682E1
5.346757E-3,7.403596E1
5.233070E-3,7.686769E1
5.119383E-3,6.696956E1
5.005696E-3,6.431080E1
4.892009E-3,7.439893E1
4.778322E-3,8.733461E1
4.664635E-3,9.118762E1
4.550948E-3,9.316432E1
4.437261E-3,9.709867E1
4.323574E-3,9.683698E1
4.209887E-3,9.601951E1
4.096200E-3,8.739534E1
3.982513E-3,7.884136E1
3.868825E-3,8.754981E1
3.755138E-3,9.601978E1
