x,luma
8.791276E-3,8.679530E1
8.669400E-3,9.124018E1
8.547524E-3,9.596824E1
8.425648E-3,9.697508E1
8.303772E-3,9.153886E1
8.181895E-3,7.840645E1
8.060019E-3,7.185282E1
7.938143E-3,8.456547E1
7.816267E-3,9.891505E1
7.694390E-3,1.019526E2
7.572514E-3,9.827530E1
7.450638E-3,9.858521E1
7.328762E-3,9.912068E1
7.206885E-3,9.572237E1
7.085009E-3,9.073192E1
6.963133E-3,8.992956E1
6.841257E-3,9.620911E1
6.719380E-3,1.002460E2
6.597504E-3,9.918765E1
6.475628E-3,9.956230E1
6.353752E-3,9.875500E1
6.231875E-3,9.244486E1
6.109999E-3,8.093369E1
5.988123E-3,7.272343E1
5.866247E-3,7.429790E1
5.744370E-3,7.713431E1
5.622494E-3,7.635865E1
5.500618E-3,7.884151E1
5.378742E-3,8.253620E1
5.256865E-3,8.377378E1
5.134989E-3,8.253229E1
5.013113E-3,8.066600E1
4.891237E-3,9.075594E1
4.769360E-3,1.009306E2
4.647484E-3,1.034554E2
4.525608E-3,1.055590E2
4.403732E-3,1.076107E2
4.281855E-3,1.073448E2
4.159979E-3,1.029076E2
4.038103E-3,9.460248E1
3.916227E-3,9.698769E1
3.794350E-3,1.055616E2
3.672474E-3,1.081063E2
3.550598E-3,1.062976E2
3.428722E-3,1.051446E2
3.306845E-3,1.045952E2
3.184969E-3,9.569753E1
3.063093E-3,7.711894E1
2.941217E-3,7.158957E1
2.819340E-3,8.011775E1
2.697464E-3,8.564922E1
2.575588E-3,8.372904E1
2.453712E-3,8.254606E1
2.331835E-3,8.381754E1
2.209959E-3,8.248061E1
2.088083E-3,7.622087E1
1.966207E-3,7.255670E1
1.844330E-3,7.735443E1
1.722454E-3,8.422663E1
1.600578E-3,8.647447E1
1.478702E-3,8.728183E1
1.356825E-3,8.923287E1
1.234949E-3,8.950858E1
1.113073E-3,8.522548E1
9.911967E-4,7.749203E1
8.693205E-4,7.893239E1
7.474442E-4,8.766696E1
6.255680E-4,9.132939E1
5.036917E-4,9.223571E1
3.818155E-4,9.324569E1
2.599392E-4,8.711287E1
